komoditas,indikator_ojk,lag_bulan,korelasi
Cabai Rawit Merah,ojk_twp90,0,-0.006756706292283295
Cabai Rawit Merah,ojk_twp90,1,0.2400384810767043
Cabai Rawit Merah,ojk_twp90,2,0.09540382069055782
Cabai Rawit Merah,ojk_roa,0,0.12661205912623824
Cabai Rawit Merah,ojk_roa,1,0.115035384569215
Cabai Rawit Merah,ojk_roa,2,-0.1346452268466868
Cabai Rawit Merah,ojk_roe,0,0.0724054587809444
Cabai Rawit Merah,ojk_roe,1,0.08967271006562212
Cabai Rawit Merah,ojk_roe,2,-0.1395943665851197
Cabai Rawit Merah,ojk_bopo,0,-0.14275624147299137
Cabai Rawit Merah,ojk_bopo,1,-0.1317219062783106
Cabai Rawit Merah,ojk_bopo,2,-0.031017879080653114
Cabai Rawit Merah,ojk_penyaluran_pertanian_miliar,0,0.21162368174107482
Cabai Rawit Merah,ojk_penyaluran_pertanian_miliar,1,0.3192331013624397
Cabai Rawit Merah,ojk_penyaluran_pertanian_miliar,2,0.34176710752735995
Daging Sapi,ojk_tkb90,0,0.15499068066469157
Daging Sapi,ojk_tkb90,1,-0.02769257388501421
Daging Sapi,ojk_tkb90,2,-0.2307415683638433
Daging Sapi,ojk_twp90,0,-0.15499068066469054
Daging Sapi,ojk_twp90,1,0.027692573885016756
Daging Sapi,ojk_twp90,2,0.23074156836384704
Daging Sapi,ojk_roa,0,-0.3177565635194366
Daging Sapi,ojk_roa,1,-0.36338253622400324
Daging Sapi,ojk_roa,2,-0.6696354055499354
Daging Sapi,ojk_roe,0,-0.2843145014756547
Daging Sapi,ojk_roe,1,-0.3691961507445626
Daging Sapi,ojk_roe,2,-0.7173966971698533
Daging Sapi,ojk_bopo,0,-0.09095778542524321
Daging Sapi,ojk_bopo,1,0.18704194656308104
Daging Sapi,ojk_bopo,2,0.5259846277733853
Daging Sapi,ojk_penyaluran_pertanian_miliar,0,-0.2632127727892291
Daging Sapi,ojk_penyaluran_pertanian_miliar,1,0.14806915560301734
Daging Sapi,ojk_penyaluran_pertanian_miliar,2,-0.23116049515471118
Daging Ayam,ojk_tkb90,0,-0.4372357103377056
Daging Ayam,ojk_tkb90,1,-0.44499796035988687
Daging Ayam,ojk_tkb90,2,-0.010437538639897563
Daging Ayam,ojk_twp90,0,0.43723571033770353
Daging Ayam,ojk_twp90,1,0.44499796035988254
Daging Ayam,ojk_twp90,2,0.010437538639899047
Daging Ayam,ojk_roa,0,-0.21743438788413305
Daging Ayam,ojk_roa,1,-0.19674051249528268
Daging Ayam,ojk_roa,2,-0.22851693934668504
Daging Ayam,ojk_roe,0,-0.21746908022844286
Daging Ayam,ojk_roe,1,-0.1927174874263738
Daging Ayam,ojk_roe,2,-0.23809580307577788
Daging Ayam,ojk_bopo,0,-0.024846788207634786
Daging Ayam,ojk_bopo,1,0.18264630773440263
Daging Ayam,ojk_bopo,2,0.36471353465098366
Daging Ayam,ojk_penyaluran_pertanian_miliar,0,0.12784281467010666
Daging Ayam,ojk_penyaluran_pertanian_miliar,1,-0.09869976029232919
Daging Ayam,ojk_penyaluran_pertanian_miliar,2,-0.17123170215396707
Telur Ayam,ojk_tkb90,0,-0.48919678750173823
Telur Ayam,ojk_tkb90,1,-0.5634039095097575
Telur Ayam,ojk_tkb90,2,-0.3722626669780411
Telur Ayam,ojk_twp90,0,0.4891967875017382
Telur Ayam,ojk_twp90,1,0.5634039095097562
Telur Ayam,ojk_twp90,2,0.37226266697803956
Telur Ayam,ojk_roa,0,-0.03905239613534401
Telur Ayam,ojk_roa,1,-0.111978816402121
Telur Ayam,ojk_roa,2,-0.12873574824107123
Telur Ayam,ojk_roe,0,-0.06750970651653355
Telur Ayam,ojk_roe,1,-0.14976557934863194
Telur Ayam,ojk_roe,2,-0.17566664575036034
Telur Ayam,ojk_bopo,0,-0.15223709162265578
Telur Ayam,ojk_bopo,1,0.1308072996881117
Telur Ayam,ojk_bopo,2,0.3512738540259586
Telur Ayam,ojk_penyaluran_pertanian_miliar,0,0.18151673915855396
Telur Ayam,ojk_penyaluran_pertanian_miliar,1,-0.07799113845709049
Telur Ayam,ojk_penyaluran_pertanian_miliar,2,-0.18016409773070774
Gula Pasir,ojk_tkb90,0,0.008905772498676164
Gula Pasir,ojk_tkb90,1,-0.09304566255738021
Gula Pasir,ojk_tkb90,2,-0.32849951502840574
Gula Pasir,ojk_twp90,0,-0.008905772498675163
Gula Pasir,ojk_twp90,1,0.09304566255738149
Gula Pasir,ojk_twp90,2,0.32849951502840485
Gula Pasir,ojk_roa,0,0.5567591817206587
Gula Pasir,ojk_roa,1,0.4241509574356651
Gula Pasir,ojk_roa,2,0.27348543027100664
Gula Pasir,ojk_roe,0,0.5392978485132681
Gula Pasir,ojk_roe,1,0.3814530186702748
Gula Pasir,ojk_roe,2,0.22703786658038475
Gula Pasir,ojk_bopo,0,-0.7050286905699393
Gula Pasir,ojk_bopo,1,-0.5646423242356363
Gula Pasir,ojk_bopo,2,-0.34160268380387254
Gula Pasir,ojk_penyaluran_pertanian_miliar,0,0.21142549033500635
Gula Pasir,ojk_penyaluran_pertanian_miliar,1,0.13947302527017058
Gula Pasir,ojk_penyaluran_pertanian_miliar,2,0.24895414979973735
Minyak Goreng Kemasan,ojk_tkb90,0,-0.4149826183992614
Minyak Goreng Kemasan,ojk_tkb90,1,-0.37506565205365433
Minyak Goreng Kemasan,ojk_tkb90,2,-0.3112670183132954
Minyak Goreng Kemasan,ojk_twp90,0,0.41498261839926054
Minyak Goreng Kemasan,ojk_twp90,1,0.37506565205365316
Minyak Goreng Kemasan,ojk_twp90,2,0.3112670183132883
Minyak Goreng Kemasan,ojk_roa,0,0.8004039067592299
Minyak Goreng Kemasan,ojk_roa,1,0.782562076496161
Minyak Goreng Kemasan,ojk_roa,2,0.7691336483210571
Minyak Goreng Kemasan,ojk_roe,0,0.7454259344937741
Minyak Goreng Kemasan,ojk_roe,1,0.7294750173013524
Minyak Goreng Kemasan,ojk_roe,2,0.7209165161473481
Minyak Goreng Kemasan,ojk_bopo,0,-0.6726965139650722
Minyak Goreng Kemasan,ojk_bopo,1,-0.6703184538329393
Minyak Goreng Kemasan,ojk_bopo,2,-0.5567247855782348
Minyak Goreng Kemasan,ojk_penyaluran_pertanian_miliar,0,0.25275411078867827
Minyak Goreng Kemasan,ojk_penyaluran_pertanian_miliar,1,0.2698499852979279
Minyak Goreng Kemasan,ojk_penyaluran_pertanian_miliar,2,0.26284670883791306
