tahun,bulan,beras_premium,beras_medium,bawang_merah,bawang_putih,cabai_merah_keriting,cabai_rawit_merah,daging_sapi,daging_ayam,telur_ayam,gula_pasir,minyak_goreng_kemasan,ojk_tkb90,ojk_twp90,ojk_roa,ojk_roe,ojk_bopo,ojk_penyaluran_pertanian_miliar
2024,Januari,15217,13411,37119,38980,52611,56640,135059,36139,28445,17414,17465,0.9704787216208748,0.029521278379125215,-0.019286355402577077,-0.037631479234353275,0.9586798608560223,295.668858157
2024,Februari,16047,14081,34605,39090,62045,58265,134921,36997,29413,17630,17647,0.9705392918985771,0.029460708101422872,-0.013607414781891626,-0.02634220412541913,0.9294537606982358,341.787110353
2024,Maret,16517,14370,34895,41118,58651,59817,136142,38512,31923,17904,19060,0.9705828868797419,0.029417113120258076,-0.0037561508664440504,-0.007196911051070993,0.9173513447467685,410.669648896
2024,April,16102,13880,47804,43647,49095,53110,137824,38884,30960,18145,19187,0.972068965535836,0.027931034464164006,0.023734933337751472,0.04489053646988034,0.8773249897564411,222.56238726
2024,Mei,15623,13562,48659,43448,48650,47795,136400,38513,30731,18435,19098,0.9708627415511686,0.029137258448831416,0.03784829564570315,0.07022348557042228,0.8575206391485278,389.834886743
2024,Juni,15521,13480,43426,42582,54357,51599,136598,37493,30158,18261,19078,0.9721368302282456,0.027863169771754404,0.04498008900435438,0.08470376596003773,0.8649674212689351,390.269427934
2024,Juli,15582,13598,33616,40851,47255,60762,136056,36316,29655,18083,19190,0.9746941264065344,0.025305873593465575,0.04987357474826944,0.09435517917114843,0.9061940843174923,413.490295259
2024,Agustus,15606,13643,27097,40258,46252,63725,136007,35809,29069,18003,18195,0.9762435578163895,0.02375644218361054,0.08110035172461666,0.14565166391724846,0.8898452714975158,371.071132929
2024,September,15582,13627,27458,39960,38206,48753,135632,35319,28662,17862,18223,0.9762489061127071,0.023751093887292896,0.09912301062229328,0.17907210346383737,0.8882526416868904,322.973163989
2024,Oktober,15545,13606,29985,40203,33637,47263,135503,36127,28847,17978,18336,0.976331566402645,0.02366843359735509,0.13622521876366658,0.23622283023931834,0.8770417955235812,338.258405019
2024,November,15491,13534,37628,41214,31690,42951,135508,36778,28716,17993,18485,0.9748294263691014,0.025170573630898595,0.15108488675823897,0.2651464392357604,0.8740431710156704,364.153003777
2024,Desember,15474,13518,40850,42574,38610,47066,135781,37469,29950,18021,18783,0.9739589176495065,0.02604108235049351,0.1911512685303004,0.32552946931655236,0.862990020914861,452.883668827
2025,Januari,15442,13546,39040,42525,56445,74250,135258,37495,29859,18098,19963,0.9747931284188391,0.025206871581160827,0.016622283499473825,0.029320766454938686,0.8577374525724718,383.989007502
2025,Februari,15500,13613,35844,42696,52937,68786,134708,35981,29440,18331,20426,0.9722202819643284,0.02777971803567158,0.2180078196068988,0.2676980644552771,0.8867389893445735,475.267823617
2025,Maret,15545,13696,41458,43839,52791,85030,136146,36400,29665,18513,20621,0.9722716354089231,0.02772836459107682,0.4827115381748924,0.6648464807580076,0.7788413020595926,448.003458298
2025,April,15563,13715,44516,44750,58560,77710,136153,35420,29149,18547,20694,0.9707034326701321,0.029296567329867896,0.2468027444914783,0.3162575495394356,0.8736283683185863,357.605292467
2025,Mei,15595,13762,39639,42519,49512,52738,135461,34814,29108,18547,20798,0.968098468740067,0.0319015312599333,0.266007794954662,0.348153717413418,0.868071756103552,407.563737234
2025,Juni,15747,13996,42262,39909,44444,54705,135375,35034,29239,18469,20834,0.9715253891772158,0.028474610822784293,0.2842559082078061,0.37851275045192906,0.8569585663191805,239.664396311
2025,Juli,16045,14301,46281,39075,44707,64351,135098,35391,29469,18350,20844,0.9728590910965589,0.027140908903441154,0.30338585749561375,0.409518454536958,0.8536830983216003,352.361788826
2025,Agustus,16194,14354,51250,38386,42521,49028,135082,35404,29564,18254,20881,0.9742764338418828,0.025723566158117255,0.31537968540663297,0.427623550046329,0.848904747426208,380.846593889
2025,September,16080,13945,41919,37607,54876,47269,135132,37569,29778,18151,20922,0.9718297013887812,0.028170298611218753,0.3214718850694279,0.4416855953671249,0.8469905376597938,421.689551784
2025,Oktober,15926,13823,38892,37132,56260,43173,135134,38037,30437,18051,20956,0.9724095928085615,0.027590407191438494,0.31299562757869154,0.4250702214140572,0.8508452571335235,436.022141974
2025,November,15572,13564,39873,36829,53794,41694,135170,37628,30525,17993,20939,0.9567393716883973,0.04326062831160275,0.31427905308751825,0.4270800621572746,0.8511850386328628,325.749929864
2025,Desember,15549,13540,47236,37823,57503,67666,135300,39810,31390,18044,20957,0.9567981515546249,0.043201848445375134,0.2843016432327836,0.37286639559229895,0.8672732240335526,405.978139823
